movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
avatar,action adventure fantasy sci-fi,avatar future marine native paraplegic,cch pounder,joel david moore,wes studi,james cameron,action adventure fantasy sci-fi avatar future marine native paraplegic cch pounder joel david moore wes studi james cameron
pirates of the caribbean: at world's end,action adventure fantasy,goddess marriage ceremony marriage proposal pirate singapore,johnny depp,orlando bloom,jack davenport,gore verbinski,action adventure fantasy goddess marriage ceremony marriage proposal pirate singapore johnny depp orlando bloom jack davenport gore verbinski
spectre,action adventure thriller,bomb espionage sequel spy terrorist,christoph waltz,rory kinnear,stephanie sigman,sam mendes,action adventure thriller bomb espionage sequel spy terrorist christoph waltz rory kinnear stephanie sigman sam mendes
the dark knight rises,action thriller,deception imprisonment lawlessness police officer terrorist plot,tom hardy,christian bale,joseph gordon-levitt,christopher nolan,action thriller deception imprisonment lawlessness police officer terrorist plot tom hardy christian bale joseph gordon-levitt christopher nolan
star wars: episode vii - the force awakens,documentary,,doug walker,rob walker,,doug walker,documentary  doug walker rob walker  doug walker
john carter,action adventure sci-fi,alien american civil war male nipple mars princess,daryl sabara,samantha morton,polly walker,andrew stanton,action adventure sci-fi alien american civil war male nipple mars princess daryl sabara samantha morton polly walker andrew stanton
spider-man 3,action adventure romance,sandman spider man symbiote venom villain,j.k. simmons,james franco,kirsten dunst,sam raimi,action adventure romance sandman spider man symbiote venom villain j.k. simmons james franco kirsten dunst sam raimi
tangled,adventure animation comedy family fantasy musical romance,17th century based on fairy tale disney flower tower,brad garrett,donna murphy,m.c. gainey,nathan greno,adventure animation comedy family fantasy musical romance 17th century based on fairy tale disney flower tower brad garrett donna murphy m.c. gainey nathan greno
avengers: age of ultron,action adventure sci-fi,artificial intelligence based on comic book captain america marvel cinematic universe superhero,chris hemsworth,robert downey jr.,scarlett johansson,joss whedon,action adventure sci-fi artificial intelligence based on comic book captain america marvel cinematic universe superhero chris hemsworth robert downey jr. scarlett johansson joss whedon
harry potter and the half-blood prince,adventure family fantasy mystery,blood book love potion professor,alan rickman,daniel radcliffe,rupert grint,david yates,adventure family fantasy mystery blood book love potion professor alan rickman daniel radcliffe rupert grint david yates
batman v superman: dawn of justice,action adventure sci-fi,based on comic book batman sequel to a reboot superhero superman,henry cavill,lauren cohan,alan d. purwin,zack snyder,action adventure sci-fi based on comic book batman sequel to a reboot superhero superman henry cavill lauren cohan alan d. purwin zack snyder
superman returns,action adventure sci-fi,crystal epic lex luthor lois lane return to earth,kevin spacey,marlon brando,frank langella,bryan singer,action adventure sci-fi crystal epic lex luthor lois lane return to earth kevin spacey marlon brando frank langella bryan singer
quantum of solace,action adventure,action hero attempted rape bond girl official james bond series revenge,giancarlo giannini,mathieu amalric,rory kinnear,marc forster,action adventure action hero attempted rape bond girl official james bond series revenge giancarlo giannini mathieu amalric rory kinnear marc forster
pirates of the caribbean: dead man's chest,action adventure fantasy,box office hit giant squid heart liar's dice monster,johnny depp,orlando bloom,jack davenport,gore verbinski,action adventure fantasy box office hit giant squid heart liar's dice monster johnny depp orlando bloom jack davenport gore verbinski
the lone ranger,action adventure western,horse outlaw texas texas ranger train,johnny depp,ruth wilson,tom wilkinson,gore verbinski,action adventure western horse outlaw texas texas ranger train johnny depp ruth wilson tom wilkinson gore verbinski
man of steel,action adventure fantasy sci-fi,based on comic book british actor playing american character final battle origin of hero reboot,henry cavill,christopher meloni,harry lennix,zack snyder,action adventure fantasy sci-fi based on comic book british actor playing american character final battle origin of hero reboot henry cavill christopher meloni harry lennix zack snyder
the chronicles of narnia: prince caspian,action adventure family fantasy,brother brother relationship brother sister relationship good versus evil king narnia,peter dinklage,pierfrancesco favino,damián alcázar,andrew adamson,action adventure family fantasy brother brother relationship brother sister relationship good versus evil king narnia peter dinklage pierfrancesco favino damián alcázar andrew adamson
the avengers,action adventure sci-fi,alien invasion assassin battle iron man soldier,chris hemsworth,robert downey jr.,scarlett johansson,joss whedon,action adventure sci-fi alien invasion assassin battle iron man soldier chris hemsworth robert downey jr. scarlett johansson joss whedon
